"Path 1","Path 2","Path 3","Path 4","Path 5","Path 6","Path 7","Path 8","URLs","Indexable","Non-Indexable"
"https/","","","","","","","","73","73","0"
"","www.croneri.co.uk/","","","","","","","73","73","0"
"","","sites/","","","","","","27","27","0"
"","","","default/","","","","","27","27","0"
"","","","","files/","","","","27","27","0"
"","","","","","2022-02/","","","7","7","0"
"","","","","","","nandos_blue_0.png","","1","1","0"
"","","","","","","hmrc.png","","1","1","0"
"","","","","","","deloitte_1.png","","1","1","0"
"","","","","","","cipd.png","","1","1","0"
"","","","","","","rospa.png","","1","1","0"
"","","","","","","nandos.png","","1","1","0"
"","","","","","","aat.png","","1","1","0"
"","","","","","2022-07/","","","6","6","0"
"","","","","","","Rospa-Colour.png","","1","1","0"
"","","","","","","CIPD-Colour.png","","1","1","0"
"","","","","","","BSC-Colour.png","","1","1","0"
"","","","","","","ICAS-Colour.png","","1","1","0"
"","","","","","","AAT-Colour.png","","1","1","0"
"","","","","","","IAB-Colour.png","","1","1","0"
"","","","","","css/","","","3","3","0"
"","","","","","","css_Sl4LRMNAKgKC73I4WttbKaFTfRNzrtOxiNi3J1AifR8.css","","1","1","0"
"","","","","","","css_sl7QUD1H8m-3-HmAxYnsPVDgLlc-msHkQ9qf52aVYeE.css","","1","1","0"
"","","","","","","css_ekJyWxT5SLqbVlUOEu94VG30edGjroG7Tiq_aurJoSM.css","","1","1","0"
"","","","","","inline-images/","","","2","2","0"
"","","","","","","calculator-and-mimi-christmas-tree-1024.jpg","","1","1","0"
"","","","","","","feefo-platinum-2023-205.png","","1","1","0"
"","","","","","CIL%20Gender%20Pay%20Gap%20Report.pdf","","","1","1","0"
"","","","","","2022-04/","","","1","1","0"
"","","","","","","feefo-award-1.png","","1","1","0"
"","","","","","2023-11/","","","1","1","0"
"","","","","","","as_watson.png","","1","1","0"
"","","","","","2022-05/","","","1","1","0"
"","","","","","","IAB%20logo%2030x30px.png","","1","1","0"
"","","","","","2023-12/","","","1","1","0"
"","","","","","","team.jpg","","1","1","0"
"","","","","","2023-10/","","","1","1","0"
"","","","","","","feefo-platinum-trusted-service-award-2023.png","","1","1","0"
"","","","","","2022-06/","","","1","1","0"
"","","","","","","ICAS%20Logo_0.png","","1","1","0"
"","","","","","js/","","","1","1","0"
"","","","","","","js_lcQ7OJXetiZQMqYE5vgsLPS3HcCrYfav7BePaQO_Z30.js","","1","1","0"
"","","","","","google_tag/","","","1","1","0"
"","","","","","","googletagmanager/","","1","1","0"
"","","","","","","","google_tag.script.js?s5csrq","1","1","0"
"","","tax-audit-accounting/","","","","","","9","9","0"
"","","","large-firm","","","","","1","1","0"
"","","","my-vip-tax-team","","","","","1","1","0"
"","","","small-firm","","","","","1","1","0"
"","","","ecpd","","","","","1","1","0"
"","","","sole-practitioner","","","","","1","1","0"
"","","","finance-team","","","","","1","1","0"
"","","","mid-tier","","","","","1","1","0"
"","","","corporate-tax","","","","","1","1","0"
"","","","tax-enquiry-fee-protection","","","","","1","1","0"
"","","compliance/","","","","","","8","8","0"
"","","","navigate-education","","","","","1","1","0"
"","","","navigate-road-haulage","","","","","1","1","0"
"","","","navigate-care","","","","","1","1","0"
"","","","navigate-transport","","","","","1","1","0"
"","","","navigate-business","","","","","1","1","0"
"","","","navigate-primary-care","","","","","1","1","0"
"","","","navigate-trade","","","","","1","1","0"
"","","","navigate-early-years","","","","","1","1","0"
"","","health-and-safety/","","","","","","3","3","0"
"","","","navigate-environment","","","","","1","1","0"
"","","","navigate-chemicals","","","","","1","1","0"
"","","","navigate-safety","","","","","1","1","0"
"","","partners/","","","","","","2","2","0"
"","","","early-years/","","","","","1","1","0"
"","","","","eyrs","","","","1","1","0"
"","","","transport/","","","","","1","1","0"
"","","","","1st-choice-insurance","","","","1","1","0"
"","","themes/","","","","","","1","1","0"
"","","","custom/","","","","","1","1","0"
"","","","","croner_i/","","","","1","1","0"
"","","","","","assets/","","","1","1","0"
"","","","","","","images/","","1","1","0"
"","","","","","","","logo.svg","1","1","0"
"","","criminal-finances-act-2017","","","","","","1","1","0"
"","","health-and-safety","","","","","","1","1","0"
"","","slavery-and-human-trafficking-statement","","","","","","1","1","0"
"","","human-resources/","","","","","","1","1","0"
"","","","navigate-hr","","","","","1","1","0"
"","","terms-conditions","","","","","","1","1","0"
"","","finance-and-in-house-tax-teams","","","","","","1","1","0"
"","","gdpr-compliance-statement","","","","","","1","1","0"
"","","cookies-policy","","","","","","1","1","0"
"","","education","","","","","","1","1","0"
"","","human-resources","","","","","","1","1","0"
"","","sitemap","","","","","","1","1","0"
"","","book-a-demo","","","","","","1","1","0"
"","","our-experts","","","","","","1","1","0"
"","","privacy-policy","","","","","","1","1","0"
"","","compliance","","","","","","1","1","0"
"","","library-quick-links","","","","","","1","1","0"
"","","accounting-firms","","","","","","1","1","0"
"","","partners","","","","","","1","1","0"
"","","care","","","","","","1","1","0"
"","","disclaimer","","","","","","1","1","0"
"","","our-experts/","","","","","","1","1","0"
"","","","tax/","","","","","1","1","0"
"","","","","paul-robbins","","","","1","1","0"
"","","about","","","","","","1","1","0"
